plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
ALLEGIANCE BENEFIT PLAN MANAGEMENT,multiplan.com,1795,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
DISP-REDACTED,cigna.com,1788,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BLUE CROSS AND BLUE SHIELD OF LA,lablue.com,1782,BCBS Louisiana,Elevance,Blues licensee,name,Blues plan,Blues licensee
BAYLOR SCOTT & WHITE HEALTH PLAN,bswhealth.org,1776,Baylor Scott & White,BSW,Provider-sponsored,name,Other / direct,Unclassified
90 DEGREE BENEFITS,phiagroup.com,1760,90 Degree Benefits,90 Degree,TPA / ASO,name,Other / direct,Unclassified
ANTHEM OF GA,anthem.com,1743,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
ALLEGIANCE,multiplan.com,1719,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
KAISER NORTHWEST,multiplan.com,1716,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
UNITED EMPIRE NYS GOV'T EMP BENE PLAN,uhc.com,1706,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
AMBETTER HEALTHPLAN,centene.com,1698,Centene,Centene,Carrier,name,Centene,Carrier
CIGNA HEALTH AND LIFE INSURANCE,multiplan.com,1687,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
ANTHEM BLUE CROSS BLUE SHIELD FEP,anthem.com,1672,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
UNITEDHEALTHCARE SHARED SERVICES,uhc.com,1652,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
ROCKY MOUNTAIN HOSPITAL AND MEDICAL,anthem.com,1649,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
ANTHEM BLUE CROSS AND BLUE SHIELD,anthem.com,1631,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS BLUE SHIELD OF LOUISIANA,lablue.com,1609,BCBS Louisiana,Elevance,Blues licensee,name,Blues plan,Blues licensee
BCBS,bcbst.com,1560,BCBS Tennessee,Independent,Blues licensee,domain,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD TN,multiplan.com,1556,BCBS Tennessee,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD ILLINOIS,bcbsil.com,1554,BCBS Illinois,HCSC,Blues licensee,name,Blues plan,Blues licensee
KAISER FOUNDATION,kp.org,1540,Kaiser Permanente,Kaiser,Carrier,name,Kaiser Permanente,Carrier
BCBS OF NV,anthem.com,1534,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BLUE CROSS BLUE SHIELD TX,bcbstx.com,1529,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS HORIZON BLUECARD,multiplan.com,1521,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
LUMINARE HEALTH,multiplan.com,1510,Luminare Health,Trustmark,TPA / ASO,name,MultiPlan / Claritev,Repricing vendor
EMPIRE BCBS,anthem.com,1495,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
OK AMBETTER OF OKLAHOMA,centene.com,1493,Centene,Centene,Carrier,name,Centene,Carrier
BLUE CROSS GA,anthem.com,1492,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
PROVIDENCE HEALTH PLAN,clearhs.com,1488,Providence Health Plan,Providence,Provider-sponsored,name,ClearHealth Strategies,Repricing vendor
BCBSAZ HEALTH CHOICE,azblue.com,1487,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA HEALTH AND LIFE INSURANCE,zelis.com,1473,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
ANTHEM BCBS GA,anthem.com,1469,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
HEALTH PLANS INC,healthplansinc.com,1461,Health Plans Inc,HPI,TPA / ASO,name,Other / direct,Unclassified
TEXAS CHILDREN'S HOSPITAL,multiplan.com,1451,Texas Children's Health Plan,TCH,Provider-sponsored,name,MultiPlan / Claritev,Repricing vendor
UHC EMPIRE,uhc.com,1444,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
HIGHMARK BLUE SHIELD,highmark.com,1435,Highmark,Highmark,Blues licensee,name,Blues plan,Blues licensee
HEALTHY ALLIANCE,anthem.com,1416,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BLUECROSS BLUESHIELD OF MASSACHUSETTTS,multiplan.com,1412,BCBS Massachusetts,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
UHC CHOICE PLUS,uhc.com,1407,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
"BLUECROSS BLUESHIELD OF ARIZONA, INC",azblue.com,1407,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
WEB TPA,webtpa.com,1405,WebTPA,WebTPA,TPA / ASO,name-override,Other / direct,Unclassified
BCBS FLORIDA,bcbsfl.com,1396,Florida Blue,GuideWell,Blues licensee,name,Blues plan,Blues licensee
TN BC & BS,bcbst.com,1386,BCBS Tennessee,Independent,Blues licensee,domain,Blues plan,Blues licensee
INSURANCE MANAGEMENT SERVICES,multiplan.com,1367,Insurance Management Services,IMS,TPA / ASO,name,MultiPlan / Claritev,Repricing vendor
BCBS COLORADO,anthem.com,1367,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
UMR NRECA,clearhs.com,1360,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
GHI-EMBLEM,emblemhealth.com,1356,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
"THE SCHOOL BOARD OF ORANGE COUNTY, FL",cigna.com,1342,Cigna,Cigna,Carrier,domain,Cigna,Carrier
UNITEDHEALTHCARE UHC,umr.com,1341,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
HORIZON BLUE CARD,multiplan.com,1329,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
AVERA HEALTH PLANS INC.,avera.org,1314,Avera Health Plans,Avera,Provider-sponsored,name,Other / direct,Unclassified
BCBS NEW JERSEY HORIZON,multiplan.com,1314,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD,bcbsil.com,1308,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
HORIZON BCBS NJ,multiplan.com,1273,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
ALLIED BENEFIT SYSTEMS,clearhs.com,1272,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
BCBS OF NEW MEXICO,bcbsnm.com,1271,BCBS New Mexico,HCSC,Blues licensee,name,Blues plan,Blues licensee
OXFORD,uhc.com,1269,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
UNITEDHEALTHCARE UHC,clearhs.com,1265,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
LUCENT HEALTH,lucenthealth.com,1263,Lucent Health,Lucent,TPA / ASO,name,Other / direct,Unclassified
MAGNACARE,magnacare.com,1259,MagnaCare,Brighton,TPA / ASO,name,Other / direct,Unclassified
TUFTS,point32health.org,1250,Point32Health,Point32,Carrier,name,Other / direct,Unclassified
MERITAIN HEALTH MINNEAPOLIS,clearhealthcloud.com,1248,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
HEALTHLY ALLIANCE LIFE INS CO DBA BCBS,anthem.com,1247,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
MEDICAL MUTUAL,medmutual.com,1229,Medical Mutual,Independent,Carrier,name,Other / direct,Unclassified
UNITEDHEALTHCARE UHC,clearhealthcloud.com,1229,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
ANTHEM GEORGIA,anthem.com,1218,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUECROSS BLUESHIELD OF ILLINOIS,bcbsil.com,1205,BCBS Illinois,HCSC,Blues licensee,name,Blues plan,Blues licensee
UMR,umr.com,1194,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
SUREST,uhc.com,1194,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBS HORIZON,horizonblue.com,1185,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
"DISNEY WORLDWIDE SERVICES, INC.",cigna.com,1177,Cigna,Cigna,Carrier,domain,Cigna,Carrier
AMBETTER-NARROW NETWORK SELECT,centene.com,1174,Centene,Centene,Carrier,name,Centene,Carrier
PLAN,cigna.com,1173,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BCBS OF MICHIGAN,horizonblue.com,1156,BCBS Michigan,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA,idr.com,1145,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS ANTHEM,anthem.com,1124,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
ANTHEM BC LIFE AND HEALTH INS CO,anthem.com,1105,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
UMR NRECA,clearhealthcloud.com,1104,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
UNITED HEALTHCARE SERVICES,uhc.com,1099,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
JPMORGAN CHASE & CO.,multiplan.com,1096,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
SUREST,clearhs.com,1063,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
MERITAIN HEALTH,meritain.com,1063,Aetna,CVS Health,Carrier,name,Aetna,Carrier
"UNITEDHEALTHCARE, INC.",uhc.com,1055,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBS OF MI,bcbsm.com,1048,BCBS Michigan,Independent,Blues licensee,name,Blues plan,Blues licensee
EMBLEM-GHI,emblemhealth.com,1046,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
"ANTHEM INSURANCE COMPANIES, INC.",anthem.com,1046,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BC BS OF TEXAS,bcbsil.com,1039,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
CENTIVO,centivo.com,1037,Centivo,Centivo,Carrier,name,Other / direct,Unclassified
BOON-CHAPMAN,boonchapman.com,1032,Boon-Chapman,Boon-Chapman,TPA / ASO,name,Other / direct,Unclassified
UNITED HEALTHCARE OF CALIFORNIA,multiplan.com,1031,UnitedHealthcare,UnitedHealth Group,Carrier,name,MultiPlan / Claritev,Repricing vendor
AMBETTER SUNFLOWER HEALTH PLAN,centene.com,1028,Centene,Centene,Carrier,name,Centene,Carrier
UHP ADMINISTRATORS,billingnav.com,1027,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
UHC SUREST,uhc.com,1015,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
THE EMPIRE PLAN,uhc.com,1014,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
"COMCAST CABLE COMM. MGMT, UNIVERSAL ORL.",cigna.com,1012,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BRIGHT HEALTH,clearhs.com,1011,Bright Health,Bright,Carrier,name,ClearHealth Strategies,Repricing vendor
ANTHEM BLUE CROSS CA,anthem.com,1006,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
NALC HEALTH BENEFIT PLAN,multiplan.com,1001,NALC Health Benefit Plan,NALC,Union / Taft-Hartley,name,MultiPlan / Claritev,Repricing vendor
BCBS HORIZON OUT OF STATE,multiplan.com,999,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTH AND LIFE INSURANCE COMPAN,multiplan.com,999,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
GEHA,clearhealthcloud.com,998,GEHA,GEHA,Carrier,name,ClearHealth Strategies,Repricing vendor
BCBS- FEDERAL EMPLOYEE PROGRAM,anthem.com,996,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
AMBETTER COORDINATED CARE,centene.com,991,Centene,Centene,Carrier,name,Centene,Carrier
CIGNA HEALTH AND LIFE,cigna.com,989,Cigna,Cigna,Carrier,name,Cigna,Carrier
EMBLEM,emblemhealth.com,985,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
CARE SOURCE,caresource.com,982,CareSource,CareSource,Carrier,name,Other / direct,Unclassified
WILLIAMSON COUNTY GOVERNMENT,cigna.com,979,Cigna,Cigna,Carrier,domain,Cigna,Carrier
NJ - BCBS HORIZON,multiplan.com,974,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BCBSCA,anthem.com,971,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
HEALTHFIRST,healthfirst.org,961,Health First,Health First,Provider-sponsored,name,Other / direct,Unclassified
BLUE CROSS OF NEW JERSEY,multiplan.com,942,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
SOUTHWEST AIRLINES CO.,multiplan.com,932,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UNITED HEALTHCARE SHARED SERVICES,clearhs.com,932,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
AMERIBEN,ameriben.com,928,AmeriBen,AmeriBen,TPA / ASO,name,Other / direct,Unclassified
ZELIS-CIGNA,zelis.com,926,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
UNITED HEALTHCARE SHARED SERVICES,uhc.com,923,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBS TX,bcbsil.com,922,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
UHC - UNITED HEALTHCARE,uhc.com,920,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
MARPAI HEALTH,marpaihealth.com,912,Marpai Health,Marpai,TPA / ASO,name,Other / direct,Unclassified
"ALLEGIANCE BENEFIT PLAN MANAGEMENT, INC",multiplan.com,911,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
MERITAIN HEALTH MINNEAPOLIS,clearhs.com,911,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
MERITAIN,clearhealthcloud.com,909,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA,dataisight.com,904,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS OF TN,bcbst.com,901,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
EMI HEALTH,emihealth.com,899,EMI Health,EMI,Carrier,name,Other / direct,Unclassified
BLUE CROSS AND BLUE SHIELD OF NORTH CARO,bcbsnc.com,894,BCBS North Carolina,Independent,Blues licensee,domain,Blues plan,Blues licensee
PRIORITY HEALTH,multiplan.com,893,Priority Health,Corewell,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD,bluekc.com,893,BCBS Kansas City,Independent,Blues licensee,domain,Blues plan,Blues licensee
GRAVIE ADMINISTRATIVE SERVICES,gravie.com,892,Gravie,Gravie,Carrier,name,Other / direct,Unclassified
GREATWESTHEALTHCARE CIGNA,multiplan.com,880,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUE SHIELD OF CA,anthem.com,877,Blue Shield of California,Independent,Blues licensee,name,Anthem / Elevance,Carrier
BLUECROSS AND BLUESHIELD OF KS,bcbsks.com,875,BCBS Kansas,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS & BLUE SHIELD,bcbstx.com,872,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
HORIZON BCBS OF NJ,multiplan.com,868,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BOON CHAPMAN,boonchapman.com,865,Boon-Chapman,Boon-Chapman,TPA / ASO,name,Other / direct,Unclassified
HORIZON BCBCNJ,multiplan.com,865,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
WEBTPA,webtpa.com,859,WebTPA,WebTPA,TPA / ASO,name-override,Other / direct,Unclassified
EMBLEMHEALTH,emblemhealth.com,857,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
UMR-UNITED HEALTHCARE,clearhealthcloud.com,854,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
HORIZON BC,multiplan.com,853,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
ANTHEM BCBS OF GEORGIA,anthem.com,853,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
"UNITED HEALTHCARE SERVICES, INC",uhc.com,848,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
ALLEGIANCE BENEFIT PLAN,multiplan.com,844,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
DISP-REDACTED,azblue.com,839,BCBS Arizona,Independent,Blues licensee,domain,Blues plan,Blues licensee
BCBS NJ HORIZON,multiplan.com,830,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CIGNA HMO,cigna.com,827,Cigna,Cigna,Carrier,name,Cigna,Carrier
BCBS RI,bcbsri.org,822,BCBS Rhode Island,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA HEALTH,cigna.com,815,Cigna,Cigna,Carrier,name,Cigna,Carrier
ANTHEM HEALTH PLANS OF ME DBA ANTHEM BLUE CROSS AND BLUE SHIELD,anthem.com,814,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CARE MI,bcbsm.com,810,BCBS Michigan,Independent,Blues licensee,domain,Blues plan,Blues licensee
BLUECROSS BLUESHIELD OF TENNESEE,multiplan.com,805,BCBS Tennessee,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
UNITED SERVICES AUTOMOBILE ASSOCIATION,multiplan.com,795,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HUMANA,multiplan.com,793,Humana,Humana,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS TEXAS,bcbstx.com,792,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
REGENCE BLUESHIELD OF IDAHO,regence.com,787,Blue Cross of Idaho,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS KY,anthem.com,783,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
EMPIRE BLUECROSS BLUESHIELD,anthem.com,781,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
HORIZON BCBSNJ,horizonblue.com,772,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
EXCELLUS BLUECROSS BLUESHIELD,excellus.com,771,Excellus BCBS,Lifetime,Blues licensee,name,Blues plan,Blues licensee
BCBS FEDERAL EMPLOYEE PROGRAM,elevancehealth.com,770,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
ALLIED BENEFIT,alliedbenefit.com,769,Allied Benefit Systems,Allied,TPA / ASO,name,Other / direct,Unclassified
BCBS GA,anthem.com,763,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
HEALTHY ALLIANCE LIFE INS. CO,anthem.com,756,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
CIGNA HEALTH PLAN,zelis.com,754,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
THE HEALTH PLAN,healthplan.org,751,The Health Plan,THP,Carrier,name,Other / direct,Unclassified
"CIGNA HEALTHCARE OF CALIFORNIA, INC.",cigna.com,747,Cigna,Cigna,Carrier,name,Cigna,Carrier
AITHER HEALTH,aitherhealth.zohodesk.com,745,Aither Health,Aither,TPA / ASO,name,Other / direct,Unclassified
HORIZON BC BS OF NJ,multiplan.com,743,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
INDEPENDENCE BCBS,ibx.com,742,Independence Blue Cross,Independence,Blues licensee,domain,Blues plan,Blues licensee
SELECT HEALTH,imail.org,741,SelectHealth,Intermountain,Provider-sponsored,name,Other / direct,Unclassified
THE CIGNA GROUP,cigna.com,729,Cigna,Cigna,Carrier,name,Cigna,Carrier
"RES-CARE, INC. DBA BRIGHTSPRING HEALTH SERVICES",springtidehealth.com,727,,,,,Other / direct,Unclassified
METROPOLITAN NASHVILLE PUBLIC SCHOOLS,cigna.com,725,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BCBS TENNESSEE,bcbst.com,724,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUECROSS BLUESHIELD OF TENNESEE,bcbst.com,723,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
MORGAN AUTOMOTIVE HEALTH AND WELFARE PLAN,springtidehealth.com,723,,,,,Other / direct,Unclassified
HEALTH PLAN OF NEVADA,uhc.com,718,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
BLUE CROSS OF FL BLUE OPTIONS,bcbsfl.com,717,Florida Blue,GuideWell,Blues licensee,name,Blues plan,Blues licensee
THE SCHOOL DISTRICT OF OSCEOLA COUNTY HEALTH SERVICES PLAN,springtidehealth.com,714,,,,,Other / direct,Unclassified
CIGNA TN,cigna.com,713,Cigna,Cigna,Carrier,name,Cigna,Carrier
ALL SAVERS,uhc.com,707,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBS DE,highmark.com,706,Highmark,Highmark,Blues licensee,domain,Blues plan,Blues licensee
CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD OF CA,blueshieldca.com,705,Blue Shield of California,Independent,Blues licensee,name,Blues plan,Blues licensee
ANTHEMKY,anthem.com,705,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
HORIZON BCBS - ANTHEM BCBS,multiplan.com,694,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTHCARE INSURANCE,multiplan.com,692,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD OF LOUISIANA,bcbsla.com,677,BCBS Louisiana,Elevance,Blues licensee,name,Blues plan,Blues licensee
CIGNA HEALTHCARE,mutliplan.com,669,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
UHC THE EMPIRE PLAN,uhc.com,668,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
CIGNA HEALTH PLANS,cigna.com,668,Cigna,Cigna,Carrier,name,Cigna,Carrier
ASSURED BENEFITS ADMINISTRATORS,abadmin.com,665,Assured Benefits Administrators,ABA,TPA / ASO,name,Other / direct,Unclassified
UNITED MEDICAL RESOURCES,clearhealthcloud.com,662,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
UMR - UNITED HEALTHCARE,clearhs.com,660,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
NETWORK HEALTH PLANS,zelis.com,656,Network Health,Network Health,Carrier,name,Zelis,Repricing vendor
BLUE CROSS BLUE SHIELD AZ,azblue.com,650,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS OF COLORADO,anthem.com,648,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BCBS FEDERAL,anthem.com,648,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
